event_id,step_id,line_order,speaker_id,text
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,0,speaker_narrator,"(후문으로 가려는 순간, 정리를 하던 정원사가 앞을 막는다.)"
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,1,speaker_gardener,주인님~ 그쪽은 안 됩니다~
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,2,speaker_nemo,왜요?
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,3,speaker_gardener,"뒤쪽은 길이 미끄럽고, 혼자 가시면 위험합니다~"
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,4,speaker_nemo,에이… 조금만인데.
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,5,speaker_gardener,다음에 어른이 같이 있을 때 가 보시지요~
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,6,speaker_nemo,……알겠어요.
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,0,speaker_narrator,"(후문은 열려 있고, 멀찍이 경비가 대기 중이다. 네모는 그걸 모른 채 밖으로 나간다.)"
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,1,speaker_nemo,나비 어디 갔지?
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,2,speaker_narrator,(네모가 조금 더 걷자 저택 뒤 호수가 보인다.)
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,3,speaker_nemo,우와… 여기 진짜 크다.
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,4,speaker_narrator,"(호수는 햇빛을 받아 반짝이고, 갈대가 바람에 흔들린다. 나비는 놓쳤지만 물가와 갈대밭이 신기해 한참 구경하게 된다.)"
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,5,speaker_nemo,물이 반짝반짝해.
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,6,speaker_narrator,(멀리서 지켜보던 경비대장이 다가온다.)
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,7,speaker_guard_captain,"주인님, 이제 돌아가시지요."
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,8,speaker_nemo,벌써요?
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,9,speaker_guard_captain,오래 계시면 안 됩니다.
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,10,speaker_nemo,……알겠어요.
event_week_001_excursion_garden_direct,step_event_week_001_excursion_garden_direct,11,speaker_nemo,다음에 또 오고 싶은데.
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,0,speaker_narrator,(정원사가 빗자루를 들고 다가온다.)
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,1,speaker_gardener,주인님~ 그건 손대시면 안 됩니다~
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,2,speaker_nemo,왜요?
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,3,speaker_gardener,"오늘은 아직 젖어 있어서 미끄럽고, 달팽이도 만지다 미끄러질 수 있지요~"
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,4,speaker_nemo,에이~조심할게요~
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,5,speaker_gardener,오늘은 눈으로만 보시는 게 좋습니다~
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,6,speaker_nemo,에이. 알겠어요.
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,0,speaker_narrator,(정원사가 작은 나뭇잎을 집어 네모에게 건넨다.)
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,1,speaker_gardener,"손으로 바로 만지시는 대신, 이걸로 살짝 건드려 보실래요?"
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,2,speaker_nemo,우와. 나뭇가지?
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,3,speaker_nemo,"안녕, 달팽이야."
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,4,speaker_narrator,(네모는 나뭇가지로 달팽이를 들어올린다.)
event_week_002_excursion_garden_direct,step_event_week_002_excursion_garden_direct,5,speaker_nemo,귀엽다…
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,0,speaker_narrator,(정원사가 가위를 든 채 다가와 네모를 부드럽게 막는다.)
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,1,speaker_gardener,주인님~ 너무 가까이 가시면 안 됩니다~
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,2,speaker_nemo,왜요?
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,3,speaker_gardener,돌 바닥이 젖어 있어서 미끄럽지요~
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,4,speaker_nemo,나 안 넘어질 건데.
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,5,speaker_gardener,그래도 오늘은 멀리서만 보시는 게 좋습니다~
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,6,speaker_nemo,에이.
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,7,speaker_nemo,무지개 만져 보고 싶었는데.
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,0,speaker_narrator,(정원사가 네모를 분수대 가장자리에서 조금 떨어진 안전한 자리에 세운다.)
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,1,speaker_gardener,"여기서 보시면 됩니다, 주인님."
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,2,speaker_nemo,여기서도 보여?
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,3,speaker_gardener,예~ 해가 저렇게 비칠 때만 잠깐 생긴답니다~
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,4,speaker_nemo,진짜네.
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,5,speaker_nemo,빨강도 있고 파랑도 있다.
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,6,speaker_gardener,금방 사라질 수도 있으니 많이 보셔야지요~
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,7,speaker_nemo,응.
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,8,speaker_nemo,정원 가고 싶은데
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,9,speaker_narrator,(네모가 창밖을 바라본다. 창문 너머로 비가 주륵주륵 내리고 있다.)
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,10,speaker_nemo,재밌겠다.
event_week_003_excursion_garden_direct,step_event_week_003_excursion_garden_direct,11,speaker_narrator,(네모가 정원으로 나가려 한다. )
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,0,speaker_narrator,(저택의 경비대장이 문 앞을 막고 서 있다.)
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,1,speaker_nemo,어? 비켜 주세요.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,2,speaker_guard_captain,"오늘은 나가실 수 없습니다, 주인님."
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,3,speaker_nemo,왜요?
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,4,speaker_guard_captain,나가실 수 없습니다.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,5,speaker_nemo,저 잠깐만 할 건데요.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,6,speaker_guard_captain,안 됩니다.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,7,speaker_nemo,왜에…
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,8,speaker_nemo,저 그냥 비만 볼 건데.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,9,speaker_guard_captain,백작님의 명령입니다.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,10,speaker_nemo,……에이.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,11,speaker_nemo,알겠어요.
event_week_003_excursion_garden_blocked_2,step_event_week_003_excursion_garden_blocked_2,12,speaker_narrator,( 네모는 다시 복도를 뛰어다닌다. )
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,0,speaker_narrator,(저택의 경비대장이 우산을 들고 서 있다.)
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,1,speaker_nemo,어? 우산이다.
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,2,speaker_nemo,저 나가도 돼요?
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,3,speaker_guard_captain,예. 준비해 두었습니다.
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,4,speaker_nemo,진짜요?
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,5,speaker_guard_captain,예.
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,6,speaker_nemo,와아!
event_week_003_excursion_garden_direct_2,step_event_week_003_excursion_garden_direct_2,7,speaker_nemo,저 개구리도 찾을래요!
